a6: {a6, e4fb17494ef1f5adecf1376e47b255bb}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, b8736bf402249974d903b2c6e75f5b35}
r: {r, fba1bee3b2fd9c170e29b50cff190ff4}
kd: {kd, cb3a1e8270160c4d2db438805610a62c}
qa: {qa, 296fdb2eec1d7172c38fd02a67efb4cf}
f5: {f5, 9f2f0bf5afd9b15e19c7ee47d084856a}
g9: {g9, 52d2ef7e0afc21c50a20e980d09c7b53}
n5: {n5, 5d9f2321044301ea13f998f416f2ec4f}
v8: {v8, 1380cc31b31b0efc216ee7f72202b0cb}
zb: {zb, 08b8882a58d6aee77c5e00722882c75e}
je: {je, 58b75b584b2cc717a0f3eb4daee9e89d}
w2: {w2, 48e2ab9bf281df3f17c1b0b851d7c120}
xj: {xj, 2b7e112ed3b4290836b7690038ef2904}
tg: {tg, 77d70cb3e1081dc359a8927348bea588}
ah: {ah, 88add3d1e4772f91c6e6b8aba7fd0958}
aa: {aa, 03c08bda2e81a15ec02e1991b357387b}
com/googlecode/leptonica: {com/googlecode/leptonica, 7087148c373db95c34ea2d1194478c17}
z7: {z7, 7de9c71712cf525a78fb2a891a6f4b28}
qh: {qh, 059d2c563ad7fb40d7823aeaa4321fc9}
k3: {k3, 7b42e248ee7a25c35dfdf45b01fe3c7c}
p4: {p4, 4bdfa4a21f37ada43c28241b73cb0150}
bg: {bg, 84162d0769bbc3a0f9084b3a9dd1b41d}
wd: {wd, f0f0f6dda7db693c3cf15754f5ff5a97}
d2: {d2, 061e0ab6e56b4d2e3a3c78acd6e3356c}
hj: {hj, b727e01b76c875e4bfe4076387030c6e}
l8: {l8, 7b1d0a6d27e6e27d2fde4adc54e46a1f}
x1: {x1, 72cb6b6491cacbf37e248909b5d67597}
y5: {y5, fdec7c141703560d86df48660ec7814f}
xc: {xc, 32d3792a477386a25e3c340f848e1bc6}
m2: {m2, 714313944e2d867cd5d2a96b31d730de}
yi: {yi, f14c17fee9e61f6e14479bfc5c3c2de9}
j9: {j9, 681e00716dc12abae051212310ba4f02}
uf: {uf, 86780c251ac85ce88a6fe23d9b7bda0e}
lb: {lb, 08dd58498f9d87573e2780f82165c8fb}
n8: {n8, 9885f12bcf019976bda3eb255a659f2a}
a3: {a3, bb54139e7728c586e9fae4342f45ee43}
androidx/fragment/app: {androidx/fragment/app, d49f1c25d9e3d301e726f8ead1399e86}
j0: {j0, 183d435d0f54eff8bb029372e954d1ab}
if: {if, 7f8f8c5ffa640f562c60907539b9f753}
gd: {gd, 203166f40cd48714ee4578497cd6dfaf}
x8: {x8, 9bfbd199b80e2d5e4ca297c1ba51570a}
jb: {jb, 7211dd0efbb03c7bc71d21f6288e1b1b}
u9: {u9, 2ce2bcc2113f4b27802ed816d2db0eef}
pa: {pa, d6be841371dbd752836e022c31654e53}
of: {of, 8ba374e0d203bd72e6c834350ec57484}
n4: {n4, 4df3c0e3e1584d3fc7187d00666d8b1a}
ng: {ng, 727317d8511f22676ab11386651bee79}
ef: {ef, d6669276f9b562e5a0088786cbcb4ea7}
sg: {sg, a2735fc35e18ab26aa626d9395df5684}
r5: {r5, c1cf45c34b7e0c134f4ac54ce272c6fe}
f8: {f8, dfd8e331b2d0e134390a5cdfb5a1eecf}
vc: {vc, d60bf6087c82153ee4d489739cfb49a7}
rd: {rd, 393df317acf9dba6a003e1527774ef8e}
ne: {ne, 6995c3c423a856cd1ea3f9559b676939}
h6: {h6, 6b1b3ded32a3d47d050524a69702b809}
u0: {u0, de2781f087586ea8b4f5ffe4cbf9f3b8}
vf: {vf, 186f41f37f3ed276f51f49ab3f84b418}
i1: {i1, 9fd06756fc25c9a2223a4cae93983897}
v6: {v6, ad748c75ee5007410e0a4f9b22c9517f}
l4: {l4, 5d2d03680e071fa7e145bfe1d63f019a}
s1: {s1, 5b636fdaae742174f1ca201ed7fb6f0e}
t6: {t6, 46990018fcb0bcf3c5150f805706b1cd}
xd: {xd, 3f8158045bd841ccde9e2d8974d09795}
hc: {hc, f382b0593457a1415e8b3f194254fe88}
vj: {vj, 27e4f32014b65a1c5d0c4a481b9f03e0}
fc: {fc, 1be5f5225313d339de8bd41e0a0b2f15}
e9: {e9, 62c79f01bd5eba8c2043820fc868b1fa}
b6: {b6, 8df27e09e95a8b5f5f808d365febd88f}
c4: {c4, fa46a1eea71f20f5b3387713e77df54a}
androidx/compose/material: {androidx/compose/material, f770e0af11c987ee68be48b5e84c901f}
f1: {f1, ff984cfb731e95ba221f956fc7765097}
w: {w, bd64a10ad54270c41d70a5b74c99e641}
td: {td, fa9f18a08871a64aa8be8f65d82349c8}
ib: {ib, 98659d885262bd622bc1b2ce636143b3}
com/googlecode/tesseract: {com/googlecode/tesseract, 9b374793b0705ff8fb2d9ebd8bfa9b2e}
b9: {b9, d7f56a7346cfd3f86818b4c56a2905dc}
hd: {hd, 3f7cbcbeca2674b96ccfd9864c0c3423}
ve: {ve, 370434896e7b66f80fe1156a5de815da}
fj: {fj, 5518b477755a4245b0ae302cb20a9dd0}
cf: {cf, 2b3a5fb3bb7b1ae9c86751c1361a0ab7}
com/awxkee/jxlcoder: {com/awxkee/jxlcoder, fa0e5cb1673f1bceb7212d394a2f209d}
nj: {nj, 35aa907a2fcd00935325ceb45867dab3}
yg: {yg, e88116a7a28c4317ee23874c8663dc9f}
androidx/core/content: {androidx/core/content, 2f00a69432b85bdc9a8f697b3e9996c6}
w6: {w6, ad76ab144798dfe6c198f7f0e59d6624}
dd: {dd, 98c4a00d6af17d81484b06c7845931f0}
h: {h, 56170d8a72481a97d9abcf2597d3b2e8}
d6: {d6, e6b3db2dd29ca1895d39663025d642ad}
m8: {m8, 69a007e0eed82d3d87d5ce66e0fd71b5}
p0: {p0, 69bebbaf0b698063731a139cbb3da752}
z0: {z0, 09b8c45e3c678210567892d91934212e}
pj: {pj, 03a51bca653deb06577e2f11a5114680}
zf: {zf, 4ae0b6fce31ca9fec0791a686616f3a7}
q6: {q6, 235b349c949102328c4cd3307049b321}
e0: {e0, 79b9a6b748dafc1953c42e83ee9ac5a5}
qd: {qd, 46550a82ddeab701643b1c02701f2f99}
f6: {f6, f47f1b2fde0a008b131707f7d3e149c6}
z9: {z9, 367f2e9f46644e50e895a18395d61568}
oj: {oj, 43ac6bece1c32e7cb9f025f6ad2e8290}
jf: {jf, 61541aa3c42e33c6e9d51f5951dacbe2}
wj: {wj, eb5c6bd89c5bf7b152f7b3e3eb4f8de8}
gc: {gc, d2d8c4db24dd5a03cc728aef680f583a}
md: {md, 9be3562406e069df1af774b06f64ce9f}
k9: {k9, 89179eaad24ec4138c376a5d7faf19a6}
y1: {y1, 69382bbe6572a095810a960398079376}
a: {a, 0bf7d5eeccda78ae548e3626c69fa59c}
p9: {p9, d119750ecf9c77fbae9514ab8e2607e1}
wc: {wc, 2891ee579385342621873c4310badbf8}
ad: {ad, ac828fbc3729d638ec3d57887b3ca8d3}
vd: {vd, 2e3c4b0e4fe9ba12897d5617fc3f8c4c}
ye: {ye, 8339ff464ff7db761fb55d526a562195}
w1: {w1, 6871c06020de31600fcfa1df600808b1}
k6: {k6, 4c9048b0af382c2caca4a3eda7b44cde}
